	Neighborhood_StoneBr	Neighborhood_NoRidge	Neighborhood_NridgHt	GrLivArea	Neighborhood_Mitchel	Neighborhood_Somerst	Neighborhood_Veenker	Neighborhood_Crawfor	Condition1_RRAe	BsmtFinSF1	Neighborhood_BrDale	YearRemodAdd	YearBuilt	OverallQual	Neighborhood_NWAmes	LotArea	BldgType_Twnhs	GarageCars	WoodDeckSF	GarageType_Zero	HouseStyle_SFoyer
0	0	0	0	1710	0	0	0	0	0	706	0	2003	2003	7	0	8450	0	2	0	0	0
1	0	0	0	1262	0	0	1	0	0	978	0	1976	1976	6	0	9600	0	2	298	0	0
2	0	0	0	1786	0	0	0	0	0	486	0	2002	2001	7	0	11250	0	2	0	0	0
3	0	0	0	1717	0	0	0	1	0	216	0	1970	1915	7	0	9550	0	3	0	0	0
4	0	1	0	2198	0	0	0	0	0	655	0	2000	2000	8	0	14260	0	3	192	0	0
5	0	0	0	1362	1	0	0	0	0	732	0	1995	1993	5	0	14115	0	2	40	0	0
6	0	0	0	1694	0	1	0	0	0	1369	0	2005	2004	8	0	10084	0	2	255	0	0
7	0	0	0	2090	0	0	0	0	0	859	0	1973	1973	7	1	10382	0	2	235	0	0
8	0	0	0	1774	0	0	0	0	0	0	0	1950	1931	7	0	6120	0	2	90	0	0
9	0	0	0	1077	0	0	0	0	0	851	0	1950	1939	5	0	7420	0	1	0	0	0
10	0	0	0	1040	0	0	0	0	0	906	0	1965	1965	5	0	11200	0	1	0	0	0
11	0	0	1	2324	0	0	0	0	0	998	0	2006	2005	9	0	11924	0	3	147	0	0
12	0	0	0	912	0	0	0	0	0	737	0	1962	1962	5	0	12968	0	1	140	0	0
13	0	0	0	1494	0	0	0	0	0	0	0	2007	2006	7	0	10652	0	3	160	0	0
14	0	0	0	1253	0	0	0	0	0	733	0	1960	1960	6	0	10920	0	1	0	0	0
15	0	0	0	854	0	0	0	0	0	0	0	2001	1929	7	0	6120	0	2	48	0	0
16	0	0	0	1004	0	0	0	0	0	578	0	1970	1970	6	0	11241	0	2	0	0	0
17	0	0	0	1296	0	0	0	0	0	0	0	1967	1967	4	0	10791	0	2	0	0	0
18	0	0	0	1114	0	0	0	0	1	646	0	2004	2004	5	0	13695	0	2	0	0	0
19	0	0	0	1339	0	0	0	0	0	504	0	1965	1958	5	0	7560	0	1	0	0	0
20	0	0	1	2376	0	0	0	0	0	0	0	2006	2005	8	0	14215	0	3	240	0	0
21	0	0	0	1108	0	0	0	0	0	0	0	1950	1930	7	0	7449	0	1	0	0	0
22	0	0	0	1795	0	0	0	0	0	0	0	2002	2002	8	0	9742	0	2	171	0	0
23	0	0	0	1060	0	0	0	0	0	840	0	1976	1976	5	0	4224	0	2	100	0	0
24	0	0	0	1060	0	0	0	0	0	188	0	2001	1968	5	0	8246	0	1	406	0	0
25	0	0	1	1600	0	0	0	0	0	0	0	2007	2007	8	0	14230	0	3	0	0	0
26	0	0	0	900	0	0	0	0	0	234	0	2000	1951	5	0	7200	0	2	222	0	0
27	0	0	1	1704	0	0	0	0	0	1218	0	2008	2007	8	0	11478	0	3	0	0	0
28	0	0	0	1600	0	0	0	0	0	1277	0	1997	1957	5	0	16321	0	1	288	0	0
29	0	0	0	520	0	0	0	0	0	0	0	1950	1927	4	0	6324	0	1	49	0	0
31	0	0	0	1228	0	0	0	0	0	0	0	2006	1966	5	0	8544	0	1	0	0	0
32	0	0	0	1234	0	0	0	0	0	0	0	2007	2007	8	0	11049	0	2	0	0	0
33	0	0	0	1700	0	0	0	0	0	1018	0	1959	1959	5	0	10552	0	2	0	0	0
34	0	0	1	1561	0	0	0	0	0	1153	0	2005	2005	9	0	7313	0	2	203	0	0
35	0	0	1	2452	0	0	0	0	0	0	0	2005	2004	8	0	13418	0	3	113	0	0
36	0	0	0	1097	0	0	0	0	0	0	0	1995	1994	5	0	10859	0	2	392	0	0
37	0	0	0	1297	0	0	0	0	0	1213	0	1990	1954	5	0	8532	0	2	0	0	0
38	0	0	0	1057	0	0	0	0	0	731	0	2007	1953	5	0	7922	0	1	0	0	0
39	0	0	0	1152	0	0	0	0	0	0	0	1955	1955	4	0	6040	0	0	0	1	0
40	0	0	0	1324	0	0	0	0	0	643	0	1965	1965	6	0	8658	0	2	0	0	0
41	0	0	0	1328	0	0	0	0	0	967	0	1959	1959	5	0	16905	0	1	0	0	0
42	0	0	0	884	0	0	0	0	0	747	0	1983	1983	5	0	9180	0	2	240	0	1
43	0	0	0	938	0	0	0	0	0	280	0	1980	1975	5	0	9200	0	1	145	0	0
44	0	0	0	1150	0	0	0	0	0	179	0	1959	1959	5	0	7945	0	1	0	0	0
45	0	0	1	1752	0	0	0	0	0	456	0	2005	2005	9	0	7658	0	2	196	0	0
46	0	0	0	2149	1	0	0	0	0	1351	0	2003	2003	7	0	12822	0	2	168	0	0
47	0	0	0	1656	0	1	0	0	0	24	0	2006	2006	8	0	11096	0	3	0	0	0
48	0	0	0	1452	0	0	0	0	0	0	0	2008	1920	4	0	4456	0	0	0	1	0
49	0	0	0	955	0	0	0	0	0	763	0	1966	1966	5	0	7742	0	1	0	0	0
50	0	0	0	1470	0	0	0	0	0	182	0	1997	1997	6	0	13869	0	2	0	0	0
51	0	0	0	1176	0	0	0	0	0	0	0	1950	1934	6	0	6240	0	2	112	0	0
52	0	0	0	816	0	0	0	0	0	104	0	1963	1963	5	0	8472	0	2	106	0	0
53	0	0	0	1842	0	0	1	0	0	1810	0	1987	1981	9	0	50271	0	3	857	0	0
54	0	0	0	1360	0	0	0	0	0	384	0	1955	1955	5	0	7134	0	2	0	0	0
55	0	0	0	1425	0	0	0	0	0	490	0	1964	1964	6	0	10175	0	2	0	0	0
56	0	0	0	1739	0	1	0	0	0	649	0	2000	1999	8	0	2645	1	2	115	0	0
57	0	0	0	1720	0	0	0	0	0	0	0	2004	2004	7	0	11645	0	2	0	0	0
58	1	0	0	2945	0	0	0	0	0	0	0	2006	2006	10	0	13682	0	3	192	0	0
59	0	0	0	780	0	0	0	0	0	632	0	1972	1972	5	0	7200	0	1	196	0	0
60	0	0	0	1158	0	0	0	0	1	941	0	2004	2004	6	0	13072	0	2	0	0	0
61	0	0	0	1111	0	0	0	0	0	0	0	1996	1920	5	0	7200	0	1	0	0	0
62	0	0	1	1370	0	0	0	0	0	24	0	2006	2006	8	0	6442	0	2	120	0	0
63	0	0	0	1710	0	0	0	0	0	0	0	1950	1921	7	0	10300	0	2	12	0	0
64	0	0	0	2034	0	0	0	0	0	739	0	1998	1997	7	0	9375	0	2	576	0	0
65	0	0	1	2473	0	0	0	0	0	0	0	2005	2004	8	0	9591	0	3	192	0	0
66	0	0	0	2207	0	0	0	0	0	912	0	1989	1970	7	0	19900	0	2	301	0	0
67	0	0	0	1479	0	0	0	0	0	1013	0	2003	2003	7	0	10665	0	2	144	0	0
68	0	0	0	747	0	0	0	0	0	0	0	1950	1945	4	0	4608	0	1	0	0	0
69	0	0	0	2287	0	0	0	0	0	603	0	1953	1953	7	0	15593	0	2	0	0	0
70	0	0	0	2223	0	0	0	0	0	1880	0	1973	1973	7	0	13651	0	2	300	0	0
71	0	0	0	845	1	0	0	0	0	565	0	2006	1982	4	0	7599	0	2	0	0	0
72	0	0	0	1718	0	0	0	0	0	0	0	1998	1998	7	0	10141	0	2	0	0	0
73	0	0	0	1086	0	0	0	0	0	320	0	2003	1954	5	0	10200	0	2	0	0	0
74	0	0	0	1605	0	0	0	0	0	0	0	1950	1915	3	0	5790	0	1	0	0	0
75	0	0	0	988	0	0	0	0	0	462	0	1973	1973	4	0	1596	1	1	120	0	0
76	0	0	0	952	0	0	0	0	0	228	0	1956	1956	4	0	8475	0	1	0	0	0
77	0	0	0	1285	0	0	0	0	0	336	0	2001	1948	5	0	8635	0	1	0	0	0
78	0	0	0	1768	0	0	0	0	0	0	0	1968	1968	4	0	10778	0	0	0	1	0
79	0	0	0	1230	0	0	0	0	0	0	0	1981	1910	5	0	10440	0	2	74	0	0
80	0	0	0	2142	0	0	0	0	0	448	0	1968	1968	6	0	13000	0	1	0	0	0
81	0	0	0	1337	1	0	0	0	0	1201	0	1998	1998	6	0	4500	0	2	0	0	0
82	0	0	0	1563	0	1	0	0	0	33	0	2007	2007	8	0	10206	0	3	144	0	0
83	0	0	0	1065	0	0	0	0	0	0	0	1960	1960	5	0	8892	0	2	74	0	0
84	0	0	0	1474	0	0	0	0	0	0	0	1996	1995	7	0	8530	0	2	120	0	0
85	0	1	0	2417	0	0	0	0	0	0	0	1992	1991	8	0	16059	0	2	127	0	0
86	0	0	0	1560	0	0	0	0	0	0	0	2005	2005	6	0	11911	0	2	100	0	0
87	0	0	0	1224	0	1	0	0	0	0	0	2009	2009	6	0	3951	0	2	0	0	0
89	0	0	0	990	0	0	0	0	0	588	0	1995	1994	4	0	8070	0	0	0	1	0
90	0	0	0	1040	0	0	0	0	0	0	0	1950	1950	4	0	7200	0	2	0	0	0
91	0	0	0	1235	0	0	0	0	0	600	0	1961	1961	5	0	8500	0	2	0	0	0
92	0	0	0	964	0	0	0	1	0	713	0	2006	1921	5	0	13360	0	2	0	0	0
94	0	0	0	1786	0	0	0	0	0	648	0	1997	1997	6	0	9337	0	2	0	0	0
95	0	0	0	1470	0	0	0	0	0	310	0	1993	1993	6	0	9765	0	2	232	0	0
96	0	0	0	1588	0	0	0	0	0	1162	0	1999	1999	7	0	10264	0	2	158	0	0
97	0	0	0	960	0	0	0	0	0	520	0	1965	1965	4	0	10921	0	1	120	0	0
98	0	0	0	835	0	0	0	0	0	108	0	1950	1920	5	0	10625	0	1	0	0	0
99	0	0	0	1225	0	0	0	0	0	569	0	1959	1959	4	0	9320	0	0	352	1	0
100	0	0	0	1610	0	0	0	0	0	1200	0	2001	1977	6	1	10603	0	2	168	0	0
101	0	0	0	1732	0	0	0	0	0	0	0	1985	1985	6	0	9206	0	2	192	0	0
102	0	0	0	1535	0	0	0	0	0	0	0	1979	1979	5	0	7018	0	2	0	0	0
103	0	0	0	1226	0	0	0	0	0	0	0	2009	2009	7	0	10402	0	3	0	0	0
104	0	0	0	1818	0	0	0	0	0	224	0	1950	1931	7	0	7758	0	1	0	0	0
105	0	0	0	1992	0	1	0	0	0	0	0	2004	2003	8	0	9375	0	2	140	0	0
106	0	0	0	1047	0	0	0	0	0	0	0	1995	1885	4	0	10800	0	1	0	0	0
107	0	0	0	789	0	0	0	0	0	104	0	1950	1948	5	0	6000	0	1	0	0	0
108	0	0	0	1517	0	0	0	0	0	0	0	2005	1919	5	0	8500	0	0	0	1	0
109	0	0	0	1844	0	0	0	0	0	705	0	1977	1977	6	1	11751	0	2	0	0	0
110	0	0	0	1855	0	0	0	0	0	444	0	1972	1954	6	0	9525	0	1	182	0	0
111	0	0	0	1430	0	0	0	0	0	250	0	2000	2000	7	0	7750	0	2	180	0	0
112	0	0	0	2696	0	0	0	0	0	984	0	2007	2007	7	0	9965	0	3	120	0	0
113	0	0	0	2259	0	0	0	1	0	35	0	1953	1953	6	0	21000	0	2	166	0	0
114	0	0	0	2320	0	0	0	1	0	774	0	2002	1945	6	0	7259	0	1	224	0	0
115	0	0	0	1458	0	1	0	0	0	419	0	1999	1999	6	0	3230	0	2	0	0	0
116	0	0	0	1092	0	0	0	0	0	170	0	1962	1962	5	0	11616	0	1	0	0	0
117	0	0	0	1125	0	0	0	0	0	0	0	2007	2006	5	0	8536	0	2	80	0	0
118	0	0	0	3222	0	0	0	0	0	1470	0	1990	1990	7	0	12376	0	3	367	0	0
119	0	0	0	1456	0	0	0	0	0	0	0	2006	2005	6	0	8461	0	2	0	0	0
120	0	0	0	988	0	0	0	0	0	938	0	1969	1969	6	0	21453	0	2	0	0	0
121	0	0	0	1123	0	0	0	0	0	0	0	1950	1939	4	0	6060	0	1	0	0	0
122	0	0	0	1080	0	0	0	0	0	570	0	1958	1958	6	0	9464	0	1	0	0	0
123	0	0	0	1199	0	0	0	0	0	300	0	1993	1993	6	0	7892	0	2	0	0	0
124	0	0	0	1586	0	0	0	0	0	0	0	1998	1979	6	1	17043	0	2	192	0	0
125	0	0	0	754	0	0	0	0	0	490	0	1982	1935	6	0	6780	0	0	53	1	0
126	0	0	0	958	0	0	0	0	0	120	0	1976	1976	6	0	4928	0	2	0	0	0
127	0	0	0	840	0	0	0	0	0	116	0	1950	1930	5	0	4388	0	0	0	1	0
128	0	0	0	1348	0	0	0	0	0	512	0	1966	1966	6	0	7590	0	2	188	0	0
129	0	0	0	1053	0	0	0	0	0	567	0	1991	1958	5	0	8973	0	2	0	0	0
130	0	0	0	2157	0	0	0	0	0	445	0	1966	1966	7	0	14200	0	2	105	0	0
131	0	0	0	2054	0	0	0	0	0	695	0	2000	2000	6	0	12224	0	2	24	0	0
132	0	0	0	1327	0	0	0	0	0	405	0	2002	1959	5	0	7388	0	2	0	0	0
133	0	0	0	1296	0	0	0	0	0	1005	0	2002	2001	8	0	6853	0	2	192	0	0
134	0	0	0	1721	0	0	0	0	0	570	0	1993	1968	5	0	10335	0	2	0	0	0
135	0	0	0	1682	0	0	0	0	0	0	0	1970	1970	7	1	10400	0	2	98	0	0
136	0	0	0	1214	0	0	0	0	0	695	0	1967	1967	5	0	10355	0	1	0	0	0
137	0	0	0	1959	1	0	0	0	0	0	0	1989	1988	7	0	11070	0	3	0	0	0
138	0	0	0	1852	0	0	0	0	0	668	0	2000	1999	8	0	9066	0	3	224	0	0
139	0	0	0	1764	0	0	0	0	0	821	0	1997	1997	6	0	15426	0	2	276	0	0
140	0	0	0	864	0	0	0	0	0	432	0	1971	1971	4	0	10500	0	0	0	1	0
141	0	0	0	1734	0	0	0	0	0	1300	0	2005	2005	7	0	11645	0	2	160	0	0
142	0	0	0	1385	0	0	0	0	0	507	0	1952	1952	5	0	8520	0	2	0	0	0
143	0	0	0	1501	0	0	0	0	0	679	0	1999	1999	7	0	10335	0	2	144	0	0
144	0	0	0	1728	0	0	0	0	1	1332	0	1963	1963	5	0	9100	0	2	0	0	0
145	0	0	0	1709	0	0	0	0	0	0	0	2006	2004	6	0	2522	1	2	0	0	0
146	0	0	0	875	0	0	0	0	0	209	0	1993	1931	5	0	6120	0	1	48	0	0
147	0	0	0	2035	0	0	0	0	0	0	0	2001	2001	7	0	9505	0	2	144	0	0
148	0	0	0	1080	0	0	0	0	0	680	0	2005	2004	7	0	7500	0	0	0	1	0
149	0	0	0	1344	0	0	0	0	0	0	0	1950	1936	5	0	6240	0	1	200	0	0
150	0	0	0	969	0	0	0	0	0	716	0	1975	1975	5	0	10356	0	2	0	0	0
151	0	0	1	1710	0	0	0	0	0	1400	0	2008	2007	8	0	13891	0	3	0	0	0
152	0	0	0	1993	0	0	0	0	0	416	0	1971	1971	6	1	14803	0	2	0	0	0
153	0	0	0	1252	0	0	0	0	0	429	0	1975	1960	6	0	13500	0	2	409	0	0
154	0	0	0	1200	0	0	0	0	0	0	0	1950	1923	6	0	11340	0	1	0	0	0
155	0	0	0	1096	0	0	0	0	0	0	0	1950	1924	6	0	9600	0	0	0	1	0
156	0	0	0	1040	0	0	0	0	0	0	0	1950	1950	5	0	7200	0	2	0	0	0
157	0	0	0	1968	0	0	0	0	0	0	0	2010	2009	8	0	12003	0	3	0	0	0
158	0	0	0	1947	0	1	0	0	0	222	0	2005	2004	7	0	12552	0	2	0	0	0
159	0	0	0	2462	0	0	0	0	0	57	0	2006	2005	7	0	19378	0	2	239	0	0
160	0	0	0	1232	0	0	1	0	0	660	0	1984	1984	6	0	11120	0	2	0	0	0
161	0	0	1	2668	0	0	0	0	0	1016	0	2004	2003	9	0	13688	0	3	400	0	0
162	0	0	1	1541	0	0	0	0	0	1201	0	2005	2005	7	0	12182	0	2	0	0	0
163	0	0	0	882	0	0	0	0	0	0	0	1956	1956	4	0	5500	0	0	0	1	0
164	0	0	0	1616	0	0	0	0	0	370	0	2004	1926	6	0	5400	0	1	0	0	0
165	0	0	0	1355	0	0	0	0	0	351	0	1999	1940	5	0	10106	0	0	140	1	0
166	0	0	0	1867	0	0	0	0	0	379	0	1993	1955	5	0	10708	0	1	476	0	0
167	0	0	1	2161	0	0	0	0	0	1288	0	2007	2007	8	0	10562	0	3	178	0	0
168	0	0	0	1720	0	0	0	0	0	0	0	2004	2004	7	0	8244	0	2	100	0	0
169	0	0	0	1707	0	0	0	0	0	0	0	1981	1981	8	0	16669	0	2	574	0	0
170	0	0	0	1382	0	0	0	0	0	360	0	1950	1941	5	0	12358	0	2	237	0	0
171	0	0	0	1656	0	0	0	0	0	639	0	1960	1960	6	0	31770	0	2	210	0	0
172	1	0	0	1767	0	0	0	0	0	495	0	1987	1987	7	0	5306	0	2	441	0	0
173	0	0	0	1362	0	0	0	0	0	288	0	1961	1961	6	0	10197	0	2	0	0	0
174	0	0	0	1651	0	0	0	0	0	1398	0	1986	1986	6	0	12416	0	2	192	0	0
175	0	0	0	2158	0	0	0	0	0	477	0	2001	1950	6	0	12615	0	2	0	0	0
176	0	0	0	2060	0	0	0	0	0	831	0	1989	1988	6	0	10029	0	2	0	0	0
177	0	0	0	1920	0	0	0	0	0	57	0	1958	1958	5	0	13650	0	2	0	0	0
178	1	0	0	2234	0	0	0	0	0	1904	0	2009	2008	9	0	17423	0	3	0	0	0
179	0	0	0	968	0	0	0	0	0	0	0	2006	1923	5	0	8520	0	2	0	0	0
180	0	0	0	1525	0	1	0	0	0	436	0	2000	2000	6	0	2117	1	2	0	0	0
181	0	0	0	1802	0	0	0	1	0	352	0	1950	1920	7	0	7588	0	1	0	0	0
182	0	0	0	1340	0	0	0	0	0	0	0	2006	1957	5	0	9060	0	1	116	0	0
183	0	0	0	2082	0	0	0	0	0	0	0	2003	2003	7	0	11426	0	2	280	0	0
184	0	0	0	1252	0	0	0	0	0	0	0	1991	1908	5	0	7438	0	2	104	0	0
185	0	0	0	3608	0	0	0	0	0	0	0	1993	1892	10	0	22950	0	3	0	0	0
186	0	0	0	1217	1	0	0	0	0	611	0	1991	1990	7	0	9947	0	2	168	0	0
187	0	0	0	1656	0	0	0	0	0	0	0	1987	1916	5	0	10410	0	1	0	0	0
188	0	0	0	1224	0	0	0	0	0	1086	0	1979	1979	5	0	7018	0	2	120	0	1
189	1	0	0	1593	0	0	0	0	0	1153	0	2002	2001	8	0	4923	0	2	0	0	0
190	0	0	0	2727	0	0	0	1	0	297	0	1994	1932	8	0	10570	0	2	0	0	0
191	0	0	0	1479	0	0	0	0	0	626	0	2004	1972	7	0	7472	0	2	0	0	0
192	0	0	0	1431	0	0	0	0	0	560	0	1999	1999	7	0	9017	0	2	0	0	0
193	0	0	0	1709	0	0	0	0	0	0	0	2004	2004	7	0	2522	1	2	0	0	0
194	0	0	0	864	0	0	0	0	0	390	0	1972	1972	5	0	7180	0	1	0	0	0
195	0	0	0	1456	0	0	0	0	0	566	0	1976	1976	6	0	2280	1	2	87	0	0
196	0	0	0	1726	0	1	0	0	0	1126	0	2007	2007	7	0	9416	0	3	171	0	0
197	0	0	0	3112	0	0	0	0	0	1036	0	1990	1918	8	0	25419	0	2	0	0	0
198	0	0	0	2229	0	0	0	0	0	0	0	1950	1912	6	0	5520	0	0	0	1	0
199	0	0	1	1713	0	0	0	0	0	1088	0	2005	2004	8	0	9591	0	3	0	0	0
200	0	0	0	1121	0	0	0	0	0	0	0	2004	2003	4	0	8546	0	2	132	0	0
201	0	0	0	1279	1	0	0	0	0	641	0	1977	1977	6	0	10125	0	2	238	0	0
202	0	0	0	1310	0	0	0	0	0	617	0	1950	1924	6	0	7000	0	1	0	0	0
203	0	0	0	848	0	0	0	0	0	662	0	2004	2004	6	0	4438	0	2	149	0	0
204	0	0	0	1284	0	0	0	0	0	312	0	1950	1947	5	0	3500	0	1	0	0	0
205	0	0	0	1442	0	0	0	0	0	0	0	1990	1990	7	0	11851	0	2	0	0	0
206	0	0	0	1696	0	0	0	0	1	0	0	1962	1962	5	0	13673	0	1	0	0	0
207	0	0	0	1100	0	0	0	0	0	419	0	1960	1960	4	0	12493	0	1	355	0	0
208	0	0	0	2062	0	0	0	0	0	1065	0	1989	1988	7	0	14364	0	2	60	0	0
209	0	0	0	1092	0	0	0	0	0	787	0	1964	1964	6	0	8250	0	2	0	0	0
210	0	0	0	864	0	0	0	0	0	468	0	1950	1925	5	0	5604	0	0	0	1	0
211	0	0	0	1212	0	0	0	0	0	36	0	2009	2009	6	0	10420	0	2	100	0	0
212	0	0	0	1852	0	1	0	0	0	822	0	2009	2009	7	0	8640	0	2	168	0	0
213	0	0	0	990	0	0	0	0	0	716	0	1995	1995	5	0	13568	0	2	224	0	0
214	0	0	0	1392	0	0	0	0	0	378	0	1977	1977	6	0	10900	0	1	0	0	0
215	0	0	0	1236	0	0	0	0	0	360	0	1996	1957	5	0	10011	0	1	0	0	0
216	0	0	0	1436	0	0	0	0	0	946	0	2004	2004	7	0	8450	0	2	139	0	0
217	0	0	0	1328	0	0	0	0	0	0	0	1950	1925	4	0	9906	0	1	0	0	0
218	0	0	0	1954	0	0	0	1	0	341	0	2006	1939	7	0	15660	0	2	0	0	0
219	0	0	0	1248	0	0	0	0	0	16	0	2006	2005	7	0	3010	0	2	108	0	0
220	0	0	0	1498	0	0	0	0	0	0	0	2006	2006	7	0	8990	0	2	351	0	0
221	0	0	0	2267	0	0	0	0	0	0	0	2002	2002	6	0	8068	0	2	120	0	0
222	0	0	0	1552	0	0	0	0	0	550	0	1975	1975	6	1	11475	0	2	209	0	0
223	0	0	0	864	0	0	0	0	0	524	0	1971	1971	4	0	10500	0	2	216	0	0
224	0	0	1	2392	0	0	0	0	0	56	0	2003	2003	10	0	13472	0	3	248	0	0
225	0	0	0	1302	0	0	0	0	0	0	1	1971	1971	5	0	1680	1	1	0	0	0
226	0	1	0	2520	0	0	0	0	0	565	0	1995	1995	7	0	9950	0	3	224	0	0
227	0	0	0	987	0	0	0	0	0	321	1	1970	1970	6	0	1869	1	1	0	0	0
228	0	0	0	912	0	0	0	0	0	842	0	1967	1967	5	0	8521	0	1	0	0	0
229	0	0	0	1555	0	0	0	0	0	16	0	2006	2005	7	0	3182	0	2	143	0	0
230	0	0	0	1194	0	0	0	0	0	0	0	1959	1959	6	0	8760	0	1	0	0	0
231	0	1	0	2794	0	0	0	0	0	689	0	1996	1995	8	0	15138	0	3	0	0	0
232	0	0	0	987	0	0	0	0	0	0	1	1972	1972	6	0	1680	1	1	0	0	0
233	0	0	0	894	0	0	0	0	0	182	0	1976	1976	5	0	10650	0	1	365	0	0
234	0	0	0	1960	0	0	0	0	0	625	0	2002	2002	6	0	7851	0	2	288	0	0
235	0	0	0	987	0	0	0	0	0	358	1	1971	1971	6	0	1680	0	1	0	0	0
236	0	0	0	1414	0	0	0	0	0	24	0	2004	2004	7	0	8773	0	2	132	0	0
237	0	0	0	1744	0	0	0	0	0	402	0	2003	1993	7	0	9453	0	2	370	0	0
238	0	0	1	1694	0	0	0	0	0	0	0	2007	2007	8	0	12030	0	3	168	0	0
239	0	0	0	1487	0	0	0	0	0	94	0	1950	1945	6	0	8741	0	1	0	0	0
240	0	0	0	1566	0	1	0	0	0	1078	0	2008	2008	8	0	9000	0	2	144	0	0
241	0	0	0	866	0	0	0	0	0	329	0	1997	1945	5	0	3880	0	0	58	1	0
